Date, Timestamp, Ticker, OpenPrice, HighPrice, LowPrice, ClosePrice, TotalVolume, TotalQuantity, BuyQuantity, SellQuantity, TotalTradeCount, BuyTradeCount, SellTradeCount
20150616, 11:04:00.000, IBM, 166.00, 166.09, 165.98, 166.06, 2101391.60, 12655, 0, 0, 100, 0, 0
20150616, 11:05:00.000, IBM, 166.06, 166.15, 166.06, 166.15, 492977.50, 2968, 0, 0, 35, 0, 0
20150616, 11:06:00.000, IBM, 166.11, 166.19, 166.08, 166.18, 1346072.79, 8102, 0, 0, 89, 0, 0
20150616, 11:07:00.000, IBM, 166.15, 166.23, 166.14, 166.23, 855855.68, 5150, 0, 0, 44, 0, 0
20150616, 11:08:00.000, IBM, 166.23, 166.27, 166.21, 166.21, 1115512.17, 6710, 0, 0, 77, 0, 0
20150616, 11:09:00.000, IBM, 166.23, 166.28, 166.22, 166.25, 517837.79, 3115, 0, 0, 40, 0, 0
20150616, 11:10:00.000, IBM, 166.25, 166.25, 166.17, 166.19, 637029.06, 3833, 0, 0, 45, 0, 0
20150616, 11:11:00.000, IBM, 166.17, 166.37, 166.17, 166.35, 3995845.02, 24037, 0, 0, 189, 0, 0
20150616, 11:12:00.000, IBM, 166.35, 166.51, 166.34, 166.47, 1722162.28, 10348, 0, 0, 109, 0, 0
20150616, 11:13:00.000, IBM, 166.45, 166.52, 166.43, 166.46, 400400.82, 2405, 0, 0, 21, 0, 0
20150616, 11:14:00.000, IBM, 166.47, 166.51, 166.40, 166.46, 904312.56, 5433, 0, 0, 63, 0, 0
20150616, 11:15:00.000, IBM, 166.45, 166.57, 166.44, 166.52, 926992.43, 5567, 0, 0, 69, 0, 0
20150616, 11:16:00.000, IBM, 166.49, 166.64, 166.49, 166.58, 1524519.58, 9151, 0, 0, 71, 0, 0
20150616, 11:17:00.000, IBM, 166.57, 166.63, 166.52, 166.62, 1148788.75, 6896, 0, 0, 91, 0, 0
20150616, 11:18:00.000, IBM, 166.63, 166.65, 166.54, 166.64, 2102746.60, 12622, 0, 0, 98, 0, 0
20150616, 11:19:00.000, IBM, 166.65, 166.67, 166.62, 166.65, 1703903.62, 10225, 0, 0, 65, 0, 0
20150616, 11:20:00.000, IBM, 166.62, 166.67, 166.57, 166.57, 1018653.67, 6113, 0, 0, 59, 0, 0
20150616, 11:21:00.000, IBM, 166.61, 166.70, 166.61, 166.65, 1764792.63, 10588, 0, 0, 86, 0, 0
20150616, 11:22:00.000, IBM, 166.62, 166.69, 166.62, 166.63, 280152.54, 1681, 0, 0, 17, 0, 0
20150616, 11:23:00.000, IBM, 166.63, 166.64, 166.56, 166.62, 930302.00, 5584, 0, 0, 70, 0, 0
20150616, 11:24:00.000, IBM, 166.62, 166.64, 166.58, 166.61, 681337.77, 4089, 0, 0, 50, 0, 0
20150616, 11:25:00.000, IBM, 166.65, 166.66, 166.54, 166.61, 929760.19, 5581, 0, 0, 64, 0, 0
20150616, 11:26:00.000, IBM, 166.58, 166.68, 166.56, 166.61, 2445230.27, 14676, 0, 0, 94, 0, 0
20150616, 11:27:00.000, IBM, 166.62, 166.69, 166.61, 166.65, 930636.69, 5584, 0, 0, 39, 0, 0
20150616, 11:28:00.000, IBM, 166.64, 166.68, 166.56, 166.66, 611947.14, 3673, 0, 0, 49, 0, 0
20150616, 11:29:00.000, IBM, 166.66, 166.69, 166.62, 166.69, 1206763.78, 7241, 0, 0, 69, 0, 0
20150616, 11:30:00.000, IBM, 166.69, 166.69, 166.61, 166.61, 548272.90, 3290, 0, 0, 38, 0, 0
20150616, 11:31:00.000, IBM, 166.61, 166.67, 166.60, 166.64, 1443100.67, 8660, 0, 0, 90, 0, 0
20150616, 11:32:00.000, IBM, 166.60, 166.67, 166.57, 166.66, 1978835.50, 11877, 0, 0, 111, 0, 0
20150616, 11:33:00.000, IBM, 166.66, 166.67, 166.59, 166.64, 380267.09, 2282, 0, 0, 27, 0, 0
20150616, 11:34:00.000, IBM, 166.63, 166.65, 166.58, 166.58, 581852.19, 3492, 0, 0, 30, 0, 0
20150616, 11:35:00.000, IBM, 166.58, 166.61, 166.55, 166.61, 796137.51, 4779, 0, 0, 33, 0, 0
20150616, 11:36:00.000, IBM, 166.62, 166.62, 166.54, 166.61, 651870.03, 3913, 0, 0, 51, 0, 0
20150616, 11:37:00.000, IBM, 166.61, 166.64, 166.49, 166.60, 4053965.46, 24337, 0, 0, 163, 0, 0
20150616, 11:38:00.000, IBM, 166.59, 166.62, 166.50, 166.52, 3192512.60, 19168, 0, 0, 108, 0, 0
20150616, 11:39:00.000, IBM, 166.52, 166.53, 166.49, 166.53, 332041.28, 1994, 0, 0, 26, 0, 0
20150616, 11:40:00.000, IBM, 166.52, 166.54, 166.48, 166.49, 495886.75, 2978, 0, 0, 25, 0, 0
20150616, 11:41:00.000, IBM, 166.47, 166.49, 166.39, 166.39, 1201468.09, 7218, 0, 0, 78, 0, 0
20150616, 11:42:00.000, IBM, 166.40, 166.41, 166.33, 166.33, 823330.56, 4949, 0, 0, 55, 0, 0
20150616, 11:43:00.000, IBM, 166.35, 166.37, 166.27, 166.28, 1671056.14, 10046, 0, 0, 100, 0, 0
20150616, 11:44:00.000, IBM, 166.27, 166.33, 166.25, 166.33, 923224.92, 5552, 0, 0, 60, 0, 0
20150616, 11:45:00.000, IBM, 166.33, 166.40, 166.28, 166.36, 2580921.83, 15517, 0, 0, 131, 0, 0
20150616, 11:46:00.000, IBM, 166.39, 166.39, 166.31, 166.38, 2934728.81, 17642, 0, 0, 142, 0, 0
20150616, 11:47:00.000, IBM, 166.38, 166.44, 166.33, 166.34, 5200671.13, 31255, 0, 0, 168, 0, 0
20150616, 11:48:00.000, IBM, 166.37, 166.38, 166.34, 166.37, 306112.28, 1840, 0, 0, 17, 0, 0
20150616, 11:49:00.000, IBM, 166.35, 166.37, 166.27, 166.27, 411449.47, 2474, 0, 0, 29, 0, 0
20150616, 11:50:00.000, IBM, 166.29, 166.36, 166.20, 166.32, 2150534.26, 12934, 0, 0, 110, 0, 0
20150616, 11:51:00.000, IBM, 166.38, 166.38, 166.26, 166.33, 2210345.43, 13289, 0, 0, 74, 0, 0
20150616, 11:52:00.000, IBM, 166.34, 166.44, 166.33, 166.44, 798116.93, 4797, 0, 0, 58, 0, 0
20150616, 11:53:00.000, IBM, 166.46, 166.49, 166.36, 166.36, 355671.30, 2137, 0, 0, 25, 0, 0
20150616, 11:54:00.000, IBM, 166.35, 166.39, 166.34, 166.36, 625179.28, 3758, 0, 0, 34, 0, 0
20150616, 11:55:00.000, IBM, 166.35, 166.35, 166.26, 166.26, 432577.55, 2601, 0, 0, 26, 0, 0
20150616, 11:56:00.000, IBM, 166.28, 166.28, 166.15, 166.15, 659814.87, 3970, 0, 0, 42, 0, 0
20150616, 11:57:00.000, IBM, 166.16, 166.17, 166.11, 166.14, 1031420.15, 6208, 0, 0, 57, 0, 0
20150616, 11:58:00.000, IBM, 166.12, 166.16, 166.12, 166.13, 647626.32, 3898, 0, 0, 28, 0, 0
20150616, 11:59:00.000, IBM, 166.14, 166.16, 166.14, 166.15, 563717.19, 3393, 0, 0, 41, 0, 0
20150616, 12:00:00.000, IBM, 166.15, 166.23, 166.13, 166.23, 3214499.23, 19346, 0, 0, 150, 0, 0
20150616, 12:01:00.000, IBM, 166.21, 166.25, 166.16, 166.16, 604359.12, 3636, 0, 0, 46, 0, 0
20150616, 12:02:00.000, IBM, 166.18, 166.20, 166.11, 166.15, 497341.17, 2993, 0, 0, 35, 0, 0
20150616, 12:03:00.000, IBM, 166.15, 166.15, 166.09, 166.09, 314635.82, 1894, 0, 0, 24, 0, 0
20150616, 12:04:00.000, IBM, 166.11, 166.15, 166.06, 166.15, 888009.00, 5346, 0, 0, 63, 0, 0
20150616, 12:05:00.000, IBM, 166.13, 166.17, 166.13, 166.13, 359058.36, 2161, 0, 0, 20, 0, 0
20150616, 12:06:00.000, IBM, 166.15, 166.24, 166.15, 166.23, 2833942.67, 17051, 0, 0, 71, 0, 0
20150616, 12:07:00.000, IBM, 166.25, 166.29, 166.23, 166.24, 308221.26, 1854, 0, 0, 16, 0, 0
20150616, 12:08:00.000, IBM, 166.25, 166.29, 166.22, 166.25, 225107.39, 1354, 0, 0, 17, 0, 0
20150616, 12:09:00.000, IBM, 166.23, 166.27, 166.17, 166.17, 1497838.67, 9011, 0, 0, 43, 0, 0
20150616, 12:10:00.000, IBM, 166.15, 166.17, 166.10, 166.15, 2069733.35, 12458, 0, 0, 96, 0, 0
20150616, 12:11:00.000, IBM, 166.13, 166.15, 166.09, 166.09, 495080.07, 2980, 0, 0, 27, 0, 0
20150616, 12:12:00.000, IBM, 166.11, 166.16, 166.11, 166.16, 857101.74, 5159, 0, 0, 48, 0, 0
20150616, 12:13:00.000, IBM, 166.15, 166.20, 166.13, 166.20, 1387519.28, 8350, 0, 0, 67, 0, 0
20150616, 12:14:00.000, IBM, 166.18, 166.21, 166.15, 166.20, 362786.96, 2183, 0, 0, 22, 0, 0
20150616, 12:15:00.000, IBM, 166.19, 166.22, 166.15, 166.16, 422410.14, 2542, 0, 0, 31, 0, 0
20150616, 12:16:00.000, IBM, 166.13, 166.14, 166.09, 166.09, 443696.14, 2671, 0, 0, 33, 0, 0
20150616, 12:17:00.000, IBM, 166.09, 166.15, 166.09, 166.15, 466471.36, 2808, 0, 0, 30, 0, 0
20150616, 12:18:00.000, IBM, 166.16, 166.21, 166.16, 166.21, 225013.26, 1354, 0, 0, 17, 0, 0
20150616, 12:19:00.000, IBM, 166.19, 166.19, 166.15, 166.15, 656390.50, 3950, 0, 0, 55, 0, 0
20150616, 12:20:00.000, IBM, 166.15, 166.22, 166.11, 166.22, 966455.42, 5816, 0, 0, 58, 0, 0
20150616, 12:21:00.000, IBM, 166.23, 166.23, 166.17, 166.17, 184317.89, 1109, 0, 0, 12, 0, 0
20150616, 12:22:00.000, IBM, 166.17, 166.20, 166.14, 166.14, 286472.09, 1724, 0, 0, 20, 0, 0
20150616, 12:23:00.000, IBM, 166.14, 166.17, 166.11, 166.12, 378292.68, 2277, 0, 0, 30, 0, 0
20150616, 12:24:00.000, IBM, 166.11, 166.19, 166.10, 166.19, 747277.08, 4498, 0, 0, 45, 0, 0
20150616, 12:25:00.000, IBM, 166.18, 166.18, 166.14, 166.14, 69285.56, 417, 0, 0, 5, 0, 0
20150616, 12:26:00.000, IBM, 166.13, 166.15, 166.11, 166.14, 572819.57, 3448, 0, 0, 41, 0, 0
20150616, 12:27:00.000, IBM, 166.15, 166.17, 166.11, 166.17, 777053.27, 4677, 0, 0, 47, 0, 0
20150616, 12:28:00.000, IBM, 166.17, 166.19, 166.17, 166.19, 328542.65, 1977, 0, 0, 12, 0, 0
20150616, 12:29:00.000, IBM, 166.17, 166.21, 166.12, 166.15, 602497.56, 3626, 0, 0, 36, 0, 0
20150616, 12:30:00.000, IBM, 166.12, 166.17, 166.12, 166.17, 794970.20, 4785, 0, 0, 47, 0, 0
20150616, 12:31:00.000, IBM, 166.15, 166.30, 166.15, 166.29, 1235120.93, 7430, 0, 0, 63, 0, 0
